,ques,answer
32,"error code 8:""the assessee has filed itr-4s. even though the total presumptive income u/s 44ad is less than 8% of gross turnover/gross receipt""","Description:ITR 4S has been filed but total presumptive income u/s 44AD is less than 8% of Gross Turnover or Gross Receipts. In these cases, ITR-4 should be used for filing the return."
33,what provisions will apply if a person who is eligible for the presumptive taxation scheme of section 44ad declares his income at a lower rate (i.e. less than 8%)?,"A person can declare income at lower rate (i.e., less than 8%), however, if he does so, and his income exceeds the maximum amount which is not chargeable to tax, then he is required to maintain the books of account as per the provisions ofsection 44AAand has to get his accounts auditedas persection 44AB."
34,what happens if i don't register?,"Without Registration, the user cannot e-File the Income Tax Return. Also, additional services like Viewing 26AS Statement, status of Income Tax Return, File Rectification, Refund re-issue request, etc cannot be availed. The registration needs to be done only once."
35,my refund failed to reach me as my address has changed. i want to raise a request for refund re-issue with my new address.,"You can only raise a request of refund re-issue if your refund failed to reach you and returned to us. In that case, LOGIN and GO TO 'My Account' 'Refund re-issue request'. Select the mode through which you wish to receive the refund- ECS or Cheque. Provide the new Bank Account Number (if to be changed) and provide the new Address. Submit the request. Once the request is submitted, your new Address is updated with us."
36,"in a case where the undisclosed income is represented in the form of investment in asset and such asset is partly from income that has been assessed to tax earlier, then what shall be the method of computation of undisclosed income represented by such undisclosed asset for the purposes of the scheme?","As per sub-rule (2) of rule 3 of the Income Declaration Scheme Rules, 2016, where investment in any asset is partly from an income which has been assessed to tax, the undisclosed income represented in form of such asset will be the fair market value of the asset determined in accordance with sub-rule (1) of rule 3 as reduced by an amount which bears to the value of the asset as on the 1.6.2016, the same proportion as the assessed income bears to the total cost of the asset. This is illustrated by an example as under:Investment in acquisition of asset in previous year 2013-14 is of Rs.500 out of which Rs.200 relates to income assessed to tax in A.Y. 2012-13 and Rs.300 is from undisclosed income pertaining to previous year 2013-14. The fair market value of the asset as on 01.06.2016 is Rs.1500. The undisclosed income represented by this asset under the scheme shall be:1500 minus (1500 200)=   Rs.900 500"
37,what is marginal relief and how it is computed?,"The concept of marginal relief is designed to provide relaxation from levy of surcharge to a taxpayer where the total income exceeds marginally above Rs. 1 crore or Rs. 10 crore, as the case may be. Thus, while computing surcharge, in case of taxpayers (i.e. Individuals/HUF/AOP/BOI/artificial juridical person) having total income of more than Rs. 1 crore, marginal relief shall be available in such a manner that the net amount payable as income-tax and surcharge shall not exceed the total amount payable as income-tax on total income of Rs. 1 crore by more than the amount of income that exceeds Rs. 1 crore.In case of a company, surcharge is levied @ 7% (2% in case of foreign company) on the amount of income-tax if the total income exceeds Rs. 1 crore but does not exceed Rs. 10 crore and @ 12% (5% in case of foreign company) on the amount of income-tax if total income exceeds Rs. 10 crore. Hence, in case of company whose total income exceeds Rs. 1 crore but does not exceeds Rs. 10 crore, marginal relief will be computed as discussed above, but in the case of company having total income above Rs. 10 crore marginal relief is available in such a manner that the net amount payable as income-tax and surcharge shall not exceed the total amount payable as income-tax and surcharge on total income of Rs. 10 crore by more than the amount of income that exceeds Rs. 10 crore.Illustration for better understandingMr. Raja is businessman (age 35 years). His total income for the year 2016-17 amounted to Rs. 1,01,00,000. Will he be liable to pay surcharge, if yes, then how much and will he get the benefit of marginal relief?**Surcharge is additional tax levied on the amount of income-tax. In case of taxpayers(i.e. Individuals/HUF/AOP/BOI/artificial juridical person), surcharge is levied @ 15% on the amount of income-tax where the total income of the taxpayer exceeds Rs. 1 crore. In this case, total income of Mr. Raja exceeds Rs. 1 crore and hence he will be liable to pay surcharge. Marginal relief is available in cases where the total income is slightly above Rs. 1 crore. The computation of normal tax liability (i.e.liability without marginal relief) and tax liability under marginal relief (i.e.liability after marginal relief) will be as follows :(1) Normal tax liability (i.e. without marginal relief) Tax on total income before surcharge (*)28,55,000Add:Surcharge (@ 15% on the amount of income-tax of Rs. 28,55,000)  4,28,250Tax liability after surcharge (i.e., normal tax liability)32,83,250 (*) The normal tax rates for the financial year 2016-17 applicable to an individual below the age of 60 years are as follows :Nil upto income of Rs. 2,50,00010% for income above Rs. 2,50,000 but upto Rs. 5,00,00020% for income above Rs. 5,00,000 but upto Rs. 10,00,00030% for income above Rs. 10,00,000.Apart from above rates, cess will be computed separately.(2) Tax liability under marginal relief (i.e. after marginal relief) Tax on Rs. 1 crore (at the above discussed rates)28,25,000Add:Income above Rs. 1 crore 1,00,000Tax liability under marginal relief29,25,000 ConclusionNormal tax liability (i.e.without marginal relief) comes to Rs. 32,83,250 and tax liability under marginal relief comes to Rs. 29,25,000. It can be observed that tax liability under marginal relief is lower and, hence, Rs. 29,25,000 will be the tax liability before cess. Total tax liability will be computed as follows : Rs.Tax liability after marginal relief (*)29,25,000Add:Education cess @ 2%58,500Add:Secondary and higher education cess @ 1%   29,250Tax liability30,12,750 (*) In this case, surcharge paid by Mr. Raja will be Rs. 70,000 computed as follows :  Rs.Tax liability (before cess) on Rs. 1,01,00,000 after considering the provisions of marginal relief29,25,000Tax liability (before cess) at normal rates on Rs. 1,01,00,000 if surcharge is not levied 28,55,000Surcharge (i.e.increase in tax liability)70,000 Illustration for better understandingMr. Karan is a businessman (age 35 years). His total income for the year 2016-17 amounted to Rs. 1,07,00,000. Will he be liable to pay surcharge, if yes, then how much and will he get the benefit of marginal relief?**Surcharge is additional tax levied on the amount of income-tax. In case of taxpayers(i.e. Individuals/HUF/AOP/BOI/artificial juridical person)surcharge is levied @ 15% on the amount of income-tax where the total income of the taxpayer exceeds Rs. 1 crore. In this case, total income of Mr. Karan exceeds Rs. 1 crore and hence he will be liable to pay surcharge. Marginal relief is available in cases where the total income is slightly above Rs. 1 crore. The computation of normal tax liability (i.e.liability without marginal relief) and tax liability under marginal relief (i.e.liability after marginal relief) will be as follows :(1) Normal tax liability (i.e., without marginal relief) Tax on total income before surcharge (*)30,35,000Add:Surcharge (at 12% on the amount of income-tax of Rs. 29,80,000)  4,55,250Tax liability after surcharge (i.e., normal tax liability)34,90,250(*) Tax rates are discussed in previous illustration.(2) Tax liability under marginal relief (i.e. after marginal relief) Tax on Rs. 1 crore (at the rates discussed in previous illustration)28,25,000Add:Income above Rs. 1 crore  7,00,000Tax liability under marginal relief35,25,000 ConclusionNormal tax liability (i.e.without marginal relief) comes to Rs. 34,90,250 and tax liability under marginal relief comes to Rs. 35,25,000. It can be observed that normal tax liability (i.e.without marginal relief) is lower and, hence, Rs. 34,90,250 will be the tax liability before cess. Total tax liability will be computed as follows :  Rs.Normal tax liabilityi.e.tax liability after surcharge ofRs. 4,55,25034,90,250Add:Education cess @ 2%69,805Add:Secondary and higher education cess @ 1%34,902.5Tax liability35,94,958.50"
38,"who can apply on behalf of non-resident, minor, lunatic, idiot, and court of wards?","Section 160of Income-tax Act, 1961 provides that a non-resident, minor, lunatic, idiot, mentally retarded, deceased, wards of court and such other persons may be represented through a Representative Assessee.In such cases,In the application for PAN, details of the non-resident, minor, lunatic, idiot, mentally retarded, deceased, wards of court, etc. should be provided.Details of representative assessee have to be provided in item 14 of the application for PAN.Proof of Identity and Proof of address is also required for representative assessee."
39,what is the meaning of presumptive taxation scheme?,"As persections 44AAof the Income-tax Act, 1961, a person engaged in business is required to maintain regular books of account under certain circumstances. To give relief to small taxpayers from this tedious work, the Income-tax Act has framed the presumptive taxation scheme undersections 44ADand44AE.A person adopting the presumptive taxation scheme can declare income at a prescribed rate and, in turn, is relieved from tedious job of maintenance of books of account.For small taxpayers the Income-tax Act has framed two presumptive taxation schemes as given below:1) The presumptive taxation scheme ofsections 44AD.2)The presumptive taxation scheme ofsections 44ADA.3) The presumptive taxation scheme ofsections 44AE."
40,what is the objective of fema?,"The main objective of FEMA is to facilitate external trade and payments and for promoting the orderly development and maintenance of foreign exchange market in India. FEMA deals with provisions relating to procedures, formalities, dealings, etc. of foreign exchange transactions in India. The transactions relating to foreign exchange have been classified under FEMA into two main categories, viz., (1) Current Account Transaction, (2) Capital Account Transaction."
41,what does profession mean?,"Profession means exploitation of ones skills and knowledge independently. Profession includes vocation. Some examples are legal, medical, engineering, architecture, accountancy, technical consultancy, interior decoration, artists, writers, etc."
42,are there any bonds in which i can invest my capital gains to claim tax relief?,"Yes, as persection 54EC you can claim tax relief by investing the long-term capital gains in the bonds issued by the National Highway Authority of India or by the Rural Electrification Corporation Limited. The investment should be made within a period of 6 months from the date of transfer of capital asset and bonds should not be redeemed before 3 years. This benefit cannot be availed in respect of short-term capital gain. Maximum amount which qualifies for investment will be Rs. 50,00,000. Thus, deduction undersection 54EC cannot be claimed for more than Rs. 50,00,000."
43,"as per the presumptive taxation scheme of section 44ad, income of a taxpayer will be computed @ 8% of the turnover or gross receipt and from the income of 8% can the taxpayer claim any further deductions?","Under the normal provisions of the Income-tax Law, taxable business income will be computed after allowing deduction in respect of expenses which are deductible as per the Income-tax Actand after disallowing expenses which are not deductible as per the Income-tax Act.In case of a person who is opting for the presumptive taxation scheme ofsection 44AD, the provisions of allowance/disallowances as provided under the Income-tax Law will not apply and income computed at the presumptive rate of 8% will be the final taxable income of the business covered under the presumptive taxation scheme and no further expenses will be allowed or disallowed.While computing income as per the provisions ofsection 44AD, separate deduction on account of depreciation is not available, however, the written down value of any asset used in such business shall be calculated as if depreciation as persection 32 is claimed and has been actually allowed."
44,what are the major assessments under the income-tax law?,"Under the Income-tax Law, there are four major assessments as given below:section 143(1),i.e., Summary assessment without calling the assesseei.e.taxpayer.Assessment undersection 143(3),i.e., Scrutiny assessment.Assessment undersection 144,i.e., Best judgment assessment.Assessment undersection 147,i.e., Income escaping assessment."
45,who is supposed to pay income-tax?,"Income-tax is to be paid by every person. The term 'person' as defined under the Income-tax Act covers in its ambit natural as well as artificial persons.For the purpose of charging Income-tax, the term 'person' includes Individual, Hindu Undivided Families [HUFs], Association of Persons [AOPs], Body of individuals [BOIs], Firms, LLPs, Companies, Local authority and any artificial juridical person not covered under any of the above.Thus, from the definition of the term 'person' it can be observed that, apart from a natural person,i.e.,an individual, any sort of artificial entity will also be liable to pay Income-tax."
46,"what are the provisions framed under the income-tax law relating to set off of unabsorbed depreciation, unabsorbed capital expenditure on scientific research and unabsorbed capital expenditure on promoting family planning amongst the employees?","Depreciation is first deducted from the income chargeable to tax under the head ""Profits and gains of business or profession"". If such depreciation could not be fully adjusted against such income chargeable to tax in that previous year, the unabsorbed portion shall be added to the amount of depreciation for the following year and shall be deemed to be the part of depreciation for that year (similar treatment would be given to other allowances as mentioned above).However, in the case of set off, following order of priority is to be followed:First adjustments are to be made for current scientific research expenditure, family planning expenditure and current depreciation.Second adjustment is to be made for brought forward business loss.Third adjustments are to be made for unabsorbed depreciation, unabsorbed capital expenditure on scientific research or on family planning."
47,how can a chartered accountant (ca) file income tax forms for a tax payer?,"Visit ITD e-filing website https:\incometaxindiaefiling.gov.inGO TO 'Downloads' section and select applicable Income Tax Form of the desired Assessment Year OR Login to e-Filing application and GO TO 'Downloads''Download Forms' and select applicable Income Tax Form of the desired Assessment Year.Download the Java utility of the Income Tax Form.Fill the Java utility and Validate.Generate an XML file and save in desired path/destination in your desktop/system.LOGIN to e-Filing application and GO TO e-File Upload Form.Select the Income Tax Form and the Assessment Year.Browse and Select the XML fileUpload Digital Signature Certificate.Click 'SUBMIT'.On successful upload, the Income Tax Form is sent to Assessee's workflow for acceptance.The Assessee should LOGIN to e-Filing application, GO TO Worklist and accept/reject the Income Tax Form.On Approval, the Form is successfully submitted with e-Filing application. No further action is required. If rejected, the Tax Professional can file the Income Tax Form again and follow the same process as mentioned above."
48,what provision will apply if a person opt for the presumptive taxation scheme of section 44ada and declares his income from profession at lower rate (i.e. less than 50%)?,"A person can declare income at lower rate (i.e. less than 50%), however, if he does so, and his income exceeds the maximum amount which is not chargeable to tax, then he is required to maintain the books of account as per the provisions ofsections 44AAand has to get his accounts audited as persections 44AB."
49,are there any charges to be paid for obtaining the pan?,"The applicant has to pay a fee of Rs. 93 + Service Tax as applicable, per PAN application. In case, the PAN card is to be dispatched outside India then the fee for processing PAN application is Rs. 864 (Rs. 93 application fees and Rs. 771 dispatch charges)/- will have to be paid by applicant.(plus service tax as applicable)."
50,how can i know the quantum of tax deducted from my income by the payer?,"To know the quantum of the tax deducted by the payer, you can ask the payer to furnish you a TDS certificate in respect of tax deducted by him. You can also check Form 26AS from your e-filing account at https://incometaxindiaefiling.gov.inYou can also use the View Your Tax Credit facility available at www.incometaxindia.gov.in"
51,"if i win a lottery or prize money in a competition, am i required to pay income-tax on it?","Yes, such winnings are liable to flat rate of tax at 30% without any basic exemption limit. In such a case the payer of prize money will generally deduct tax at source (i.e., TDS) from the winnings and will pay you only the balance amount."
52,"if a taxpayer does not have a digital signature, does this mean he/she cannot file the return online?","For non-auditable cases, DSC is not mandatory. If the DSC is used to the Income Tax Return (ITR), the ITR will be treated as legally filed immediately after uploading. However in case, a taxpayer does not have a DSC, he/she can still file the return electronically, but, in this case, a signed copy of ITR-V has to be sent to CPC, Post Bag No.1, Electronic City post office, Bangalore - 560100 within 120 days. After receiving the signed copy of ITR-V at ITD CPC, return will be treated as legally filed and will be processed."
53,"what should an assessee who is under presumptive taxation scheme i.e. ""no accounts case"" do to write for sundry debtors, sundry creditors, stock in trade, cash balance, gross profit as he/she may not have all these details since he is not maintaining books of accounts?","The assessee has to give these figures from primary records i.e bank statements, cash books etc."
54,are arrears of salary taxable?,"Yes. However, the benefit of spread over of income to the years to which it relates to can be availed for lower incidence of tax. This is called as reliefu/s 89 of the Income-tax Act."
55,how to compute gross annual value of a property which is let-out throughout the year?,Gross annual value of a property which is let-out throughout the year is determined in the following manner :Step 1:Compute reasonable expected rent of the property (for details refer to FAQ on computation of reasonable expected rent).Step 2:Compute actual rent of the property (for details refer to FAQ on computation of actual rent).Step 3:Compute gross annual value (Gross annual value will be higher of amount computed at step 1 or step 2).
56,how to compute the gross annual value in the case of a property which is vacant for some time during the year?,Where the property or any part of the property is let and was vacant during the whole or any part of the previous year and owing to such vacancy the actual rent received or receivable by the owner in respect thereof is less than the reasonable expected rent than the actual rent so received or receivable (as reduced by the vacant allowance) shall be considered to be the Gross Annual Value of the property.
57,is leave encashment taxable as salary?,It is taxable if received while in service. Leave encashment received at the time of retirement is exempt in the hands of the Government employee. In the hands of non-Government employee leave encashment will be exempt subject to the limit prescribed in this behalf under the Income-tax Law.
58,what incomes are charged to tax under the head capital gains?,Any profit or gain arising from transfer of a capital asset during the year is charged to tax under the head Capital Gains.
59,what is e-filing of income tax returns?,"Filing of Income Tax returns is a legal obligation for every person whose total income for the previous year has exceeded the maximum amount that is not chargeable to Income Tax under the provisions of the I.T Act, 1961. Income Tax Department has introduced a convenient way to file these returns online using the Internet. The process of electronically filing your Income tax returns through the Internet is known as e-filing of returns."
60,can a person engaged in a profession as prescribed under section 44aa(1) adopt the presumptive taxation scheme of section 44ad?,"A person who is engaged in any profession as prescribed undersection 44AA(1)cannot adopt the presumptive taxation scheme ofsection 44AD.However, he can opt for presumptive taxation scheme undersection 44ADAand declare 50% of gross receipts of profession as his presumptive income. Presumptive Scheme undersection 44ADA is applicable only for resident assessee whose total gross receipts of profession do not exceed fifty lakh rupees."
61,"an individual received gift of jewellery from his friends. the total value of jewellery received during the year as gift from all the friends amounted to rs. 84,000. what will be the tax treatment of gift in this case?","If the aggregate fair market value of prescribed movable property received by an individual or HUF without consideration during the year exceeds Rs. 50,000, then the total value of such properties received during the year without consideration will be charged to tax. In this case the total value of jewellery received during the year exceeds Rs. 50,000 and hence, Rs. 84,000 will be charged to tax."
62,are monetary gifts received from abroad liable to tax?,"If the aggregate value of monetary gift received during the year by an individual or HUF exceeds Rs. 50,000 and the gifts are not covered under the exceptions prescribed in the preceding FAQ, then gifts whether received from India or abroad will be charged to tax."
